StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Others,Others,Sowing Time and Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండగా ,మబ్బులుగా ఉంటుంది వర్షం  పడే అవకాశం లేదు ,జల్లులు పడే అవకాశం ఉంది.",2025-06-02T11:25:35.027,2025,6
TELANGANA,MAHABUBABAD,KURAVI,NA,AGRICULTURE,Others,Others,Government Schemes,"farmer id registration ;- 
",--CONTACT TO AEO'S ;- 7288891727,2025-06-02T16:38:41.83,2025,6
TELANGANA,MAHABUBABAD,MAHBUBABAD,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),	Water Management	,Weather report for water management in cotton,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు నుంచి  మోస్తరు వర్షాలు కురిసే అవకాశం ఉంది,2025-06-02T19:25:19.077,2025,6
TELANGANA,MAHABUBABAD,KESAMUDRAM,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం కలదు. ,2025-06-02T20:37:13.727,2025,6
TELANGANA,MAHABUBABAD,THORRUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),Sowing Time and Weather,QUERY ON SOWING TIME OF PADDY,SOWING TIME OF PADDY IS START FROM JUNE,2025-06-03T09:23:38.48,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Sowing Time and Weather,Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ,మబ్బులుగా ఉంటుంది. జల్లులు పడే అవకాశం ఉంది.",2025-06-04T08:31:54.517,2025,6
TELANGANA,MAHABUBABAD,NALLIKUDUR,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Weather,Farmer asked query on Weather," మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది. తుంపర్లు పడే అవకాశం ఉంది 
",2025-06-05T07:58:02.103,2025,6
TELANGANA,MAHABUBABAD,NALLIKUDUR,NA,AGRICULTURE,Cereals,Paddy (Dhan),Varieties,FINE VARIETIES OF PADDY?,"KUNARAM RICE(KNM-733),TELANGANA VARI-2(WGL-697),TELANGANA VARI-3(JGL-21078),TELANGANA SONA(RNR-15048),JAGITYALA SAMBA(JGL-3844),SOMNATH(WGL-347).",2025-06-06T07:46:00.773,2025,6
TELANGANA,MAHABUBABAD,NARSIMHULAPET,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Varieties,FARMER ASKED QUERY ON VARIETIES OF COTTON,"SUGGESTED TO SOW FOLLOWING VARIETIES OF COTTON
 [PLEASE TAKE PROPER INFORMATION ABOUT VARIERIES FROM YOUR AGRICULTURE OFFICER AND FARMER WHO ALREADY CULTIVATED] 
COTTON PRIVATE VARIETIES:
ABCH-246[PRADEEP]
AJIT-155, NAVANIT
BHAGYA-55, MOKSHA, ANKOOR AND MAHYCO-HIGH SPEED.   
",2025-06-06T09:47:33.03,2025,6
TELANGANA,MAHABUBABAD,THORRUR,NA,HORTICULTURE,Vegetables,Spine Gourd,	Plant Protection	,FARMER ASKED QUERY ABOUT NEMATODES MANAGEMENT IN SPINEGOURD ?,"వేప పిండి  చల్లుకోండి 
తీగ జాతి  కూరగాయల సాగుపై  మరిన్ని  వివరాలకు సంప్రదించవలసిన చిరునామా :
అసోసియేట్ ప్రొఫెసర్ , ఉద్యాన వన విభాగం  , వ్యవసాయ కళాశాల , రాజేంద్ర నగర్ , హైదరాబాద్ , ఫోన్ నెంబర్ : 9491151524 .
సస్య రక్షణ సమాచారం కోసం  సంప్రదించవలసిన ఫోన్ నెంబర్ : 9989623831

ఉద్యానవన పరిశోధనా స్థానం - వెంకటరామన్నగూడెం , - పశ్చిమ గోదావరి జిల్లా7382633654
రైతు సలహా కేంద్రం - వెంకటరామన్నగూడెం , పశ్చిమ గోదావరి జిల్లా - 9618021200",2025-06-07T11:32:04.633,2025,6
TELANGANA,MAHABUBABAD,MARIPEDA,NA,AGRICULTURE,Fiber Crops,Cotton (Kapas),Sowing Time and Weather,Farmer asked query on Weather,"CLOUDY WEATHER, THERE IS A CHANCE OF SHOWERS IN YOUR AREA  
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు పడే అవకాశం ఉంది.

",2025-06-07T12:38:41.17,2025,6
